longitude,latitude,scrape_time
-5.53132,50.11693,NA
-5.53132,50.11694,NA
-5.53132,50.1169,NA
-5.53132,50.11693,NA
-5.53131,50.11694,NA
-5.53133,50.11694,NA
-5.53134,50.11691,NA
-5.5313,50.11694,NA
-5.53132,50.11694,NA
-5.53131,50.11694,NA
-5.5313,50.11692,NA
-5.5313,50.11692,NA
-5.53131,50.11694,NA
-5.53132,50.11694,NA
-5.5313,50.11692,NA
-5.5313,50.11695,NA
-5.5313,50.11693,NA
-5.5313,50.11694,NA
-5.5313,50.11694,NA
-5.53132,50.11694,NA
-5.53131,50.11694,NA
-5.53133,50.11694,NA
-5.53132,50.11693,NA
-5.53132,50.11692,NA
-5.53131,50.11693,NA
-5.53132,50.11692,NA
-5.5313,50.11694,NA
-5.53132,50.11693,NA
-5.53132,50.11692,NA
-5.5313,50.11694,NA
-5.5313,50.11697,NA
-5.5313,50.11694,NA
-5.5313,50.11692,NA
-5.53132,50.1169,NA
-5.5313,50.11694,NA
-5.53131,50.11692,NA
-5.53131,50.11695,NA
-5.53129,50.11694,NA
-5.53132,50.11693,NA
-5.53132,50.11694,NA
-5.5313,50.11692,NA
-5.53132,50.11693,NA
-5.5313,50.11694,NA
-5.53132,50.11695,NA
-5.53131,50.11696,NA
-5.53133,50.11695,NA
-5.5313,50.11694,NA
-5.53131,50.11694,NA
-5.53134,50.11695,NA
-5.53132,50.11694,NA
-5.5313,50.11695,NA
-5.53131,50.11694,NA
-5.53133,50.1169,NA
-5.53132,50.11692,NA
-5.53131,50.11694,NA
-5.53133,50.11695,NA
-5.53131,50.11692,NA
-5.53132,50.11695,NA
-5.53132,50.11694,NA
-5.53134,50.11693,NA
-5.53132,50.11693,NA
-5.53131,50.11693,NA
-5.53131,50.11693,NA
-5.53132,50.11695,NA
-5.53131,50.11694,NA
-5.53131,50.11694,NA
-5.53131,50.11695,NA
-5.53132,50.11694,NA
-5.53131,50.11696,NA
-5.53131,50.11694,NA
-5.5313,50.11695,NA
-5.53132,50.11692,NA
-5.53133,50.11691,NA
-5.53132,50.11692,NA
-5.5313,50.11694,NA
-5.53134,50.11698,NA
-5.5313,50.11695,NA
-5.53134,50.1169,NA
-5.53134,50.11693,NA
-5.53132,50.11694,NA
-5.53132,50.11693,NA
-5.53133,50.1169,NA
-5.53131,50.11693,NA
-5.53134,50.11694,NA
-5.53132,50.11694,NA
-5.5313,50.11694,NA
-5.5313,50.11694,NA
-5.53131,50.11695,NA
-5.53133,50.11695,NA
-5.53131,50.1169,NA
-5.53131,50.11694,NA
-5.53132,50.11694,NA
-5.5313,50.11695,NA
-5.53131,50.11694,NA
-5.53132,50.11694,NA
-5.53132,50.11694,NA
-5.5313,50.11694,NA
-5.5313,50.11694,NA
-5.5313,50.11692,NA
-5.53131,50.11695,NA
-5.53133,50.11694,NA
-5.53132,50.11692,NA
-5.53131,50.11693,NA
-5.5313,50.11695,NA
-5.53131,50.11694,NA
-5.53132,50.11692,NA
-5.53132,50.11694,NA
-5.53133,50.11694,NA
-5.53131,50.11694,NA
-5.5313,50.11695,NA
-5.53128,50.11694,NA
-5.5313,50.11694,NA
-5.53131,50.11697,NA
-5.5313,50.11694,NA
-5.53129,50.11695,NA
-5.53129,50.11694,NA
-5.5313,50.11694,NA
-5.53132,50.11693,NA
-5.53132,50.11695,NA
-5.53131,50.11694,NA
-5.5313,50.11694,NA
-5.53128,50.11693,NA
-5.5313,50.11694,NA
-5.53131,50.11695,NA
-5.53132,50.11692,NA
-5.53131,50.11693,NA
-5.5313,50.11692,NA
-5.5313,50.11695,NA
-5.53127,50.11696,NA
-5.5313,50.11692,NA
-5.53127,50.11695,NA
-5.53131,50.11696,NA
-5.53133,50.11683,NA
-5.53117,50.11683,NA
-5.53133,50.11683,NA
-5.53131,50.11694,NA
-5.53133,50.11697,NA
-5.53131,50.11697,NA
-5.5313,50.11694,NA
-5.53132,50.11694,NA
-5.5313,50.11694,NA
-5.53131,50.11694,NA
-5.5313,50.11694,NA
-5.53132,50.11694,NA
-5.5313,50.11693,NA
-5.53129,50.11694,NA
-5.5313,50.11694,NA
-5.53132,50.11694,NA
-5.53132,50.11694,NA
-5.53132,50.11694,NA
-5.53133,50.11694,NA
-5.5313,50.11693,NA
-5.53129,50.11695,NA
-5.53131,50.11693,NA
-5.5313,50.11694,NA
-5.53129,50.11694,NA
-5.53129,50.11697,NA
-5.53129,50.11694,NA
-5.53129,50.11694,NA
-5.53129,50.11694,NA
-5.53131,50.11698,NA
-5.5313,50.11692,NA
-5.53129,50.11695,NA
-5.5313,50.11694,NA
-5.53129,50.11694,NA
-5.53132,50.11694,NA
-5.5313,50.11695,NA
-5.53132,50.11692,NA
-5.5313,50.11692,NA
-5.53129,50.11693,NA
-5.53131,50.11692,NA
-5.53132,50.11694,NA
-5.53131,50.11694,NA
-5.53133,50.11694,NA
-5.53129,50.11694,NA
-5.53129,50.11693,NA
-5.53131,50.11694,NA
-5.5313,50.11696,NA
-5.53132,50.11694,NA
-5.53132,50.11694,NA
-5.53129,50.11692,NA
-5.53129,50.11694,NA
-5.53128,50.11694,NA
-5.53129,50.11695,NA
-5.53131,50.11694,NA
-5.53131,50.11692,NA
-5.53132,50.11694,NA
-5.53128,50.11695,NA
-5.53133,50.11694,NA
-5.5313,50.11693,NA
-5.53133,50.11693,NA
-5.53129,50.11693,NA
-5.53131,50.11695,NA
-5.53132,50.11692,NA
-5.53131,50.1169,NA
-5.53133,50.11693,NA
-5.53131,50.11694,NA
-5.53133,50.11695,NA
-5.5313,50.11694,NA
-5.5313,50.11694,NA
-5.5313,50.11692,NA
-5.5313,50.11694,NA
-5.53131,50.11694,NA
-5.5313,50.11695,NA
-5.53128,50.11694,NA
-5.53131,50.11694,NA
-5.53129,50.11694,NA
-5.53129,50.11693,NA
-5.53131,50.11691,NA
-5.5313,50.11694,NA
-5.5313,50.11694,NA
-5.53129,50.11696,NA
-5.53132,50.11694,NA
-5.53132,50.11692,NA
-5.5313,50.11694,NA
-5.53132,50.11696,NA
-5.53131,50.11694,NA
-5.53131,50.11694,NA
-5.5313,50.11694,NA
-5.53132,50.11694,NA
-5.53132,50.11693,NA
-5.53131,50.11694,NA
-5.5313,50.11695,NA
-5.53132,50.11695,NA
-5.53132,50.11694,NA
-5.53132,50.11693,NA
-5.53131,50.11696,NA
-5.53131,50.11696,NA
-5.53127,50.11696,NA
-5.53131,50.11694,NA
-5.53128,50.11694,NA
-5.53129,50.11694,NA
-5.53132,50.11694,NA
-5.53132,50.11695,NA
-5.53129,50.11694,NA
-5.53129,50.11694,NA
-5.53131,50.11694,NA
-5.53131,50.11694,NA
-5.5313,50.11694,NA
-5.5313,50.11694,NA
-5.5313,50.11694,NA
-5.53132,50.11694,NA
-5.53132,50.11693,NA
-5.53131,50.11692,NA
-5.5313,50.11694,NA
